"","bestCostByT","temperatures"
"642",1459620444,2027894,217706
"643",1459620444,2007615,27552894
"644",1459620444,1987539,12277365
"645",1459620444,1967663,73154592
"646",1459620444,1947987,09423046
"647",1459620444,1928507,22328815
"648",1459620444,1909222,15105527
"649",1459620444,1890129,92954472
"650",1459620444,1871228,63024927
"651",1459620444,1852516,34394678
"652",1459620444,1833991,18050731
"653",1459620444,1815651,26870224
"654",1459620444,1797494,75601522
"655",1459620444,1779519,80845506
"656",1459620444,1761724,61037051
"657",1459620444,1744107,36426681
"658",1459620444,1726666,29062414
"659",1459620444,1709399,6277179
"660",1459620444,1692305,63144072
"661",1459620444,1675382,57512631
"662",1459620444,1658628,74937505
"663",1459620444,1642042,4618813
"664",1459620444,1625622,03726249
"665",1459620444,1609365,81688986
"666",1459620444,1593272,15872096
"667",1459620444,1577339,43713375
"668",1459620444,1561566,04276242
"669",1459620444,1545950,38233479
"670",1459620444,1530490,87851144
"671",1459620444,1515185,96972633
"672",1459620444,1500034,11002907
"673",1459620444,1485033,76892877
"674",1459620444,1470183,43123949
"675",1459620444,1455481,59692709
"676",1459620444,1440926,78095782
"677",1459620444,1426517,51314824
"678",1459620444,1412252,33801676
"679",1459620444,1398129,81463659
"680",1459620444,1384148,51649023
"681",1459620444,1370307,03132532
"682",1459620444,1356603,96101207
"683",1459620444,1343037,92140195
"684",1459620444,1329607,54218793
"685",1459620444,1316311,46676605
"686",1459620444,1303148,35209839
"687",1459620444,1290116,86857741
"688",1459620444,1277215,69989163
"689",1459620444,1264443,54289272
"690",1459620444,1251799,10746379
"691",1459620444,1239281,11638915
"692",1459620444,1226888,30522526
"693",1459620444,1214619,42217301
"694",1459620444,1202473,22795128
"695",1459620444,1190448,49567176
"696",1459620444,1178544,01071505
"697",1459620444,1166758,5706079
"698",1459620444,1155090,98490182
"699",1459620444,1143540,0750528
"700",1459620444,1132104,67430227
"701",1459620444,1120783,62755925
"702",1459620444,1109575,79128366
"703",1459620444,1098480,03337082
"704",1459620444,1087495,23303711
"705",1459620444,1076620,28070674
"706",1459620444,1065854,07789967
"707",1459620444,1055195,53712068
"708",1459620444,1044643,58174947
"709",1459620444,1034197,14593198
"710",1459620444,1023855,17447266
"711",1459620444,1013616,62272793
"712",1459620444,1003480,45650065
"713",1459620444,993445,651935643
"714",1459620444,983511,195416286
"715",1459620444,973676,083462124
"716",1459620444,963939,322627502
"717",1459620444,954299,929401227
"718",1459620444,944756,930107215
"719",1459620444,935309,360806143
"720",1459620444,925956,267198081
"721",1459620444,916696,704526101
"722",1459620444,907529,737480839
"723",1459620444,898454,440106031
"724",1459620444,889469,895704971
"725",1459620444,880575,196747921
"726",1459620444,871769,444780442
"727",1459620444,863051,750332637
"728",1459620444,854421,232829311
"729",1459620444,845877,020501018
"730",1459620444,837418,250296008
"731",1459620444,829044,067793048
"732",1459620444,820753,627115117
"733",1459620444,812546,090843966
"734",1459620444,804420,629935526
"735",1459620444,796376,423636171
"736",1459620444,788412,659399809
"737",1459620444,780528,532805811
"738",1459620444,772723,247477753
"739",1459620444,764996,015002976
"740",1459620444,757346,054852946
"741",1459620444,749772,594304416
"742",1459620444,742274,868361372
"743",1459620444,734852,119677758
"744",1459620444,727503,598480981
"745",1459620444,720228,562496171
"746",1459620444,713026,276871209
"747",1459620444,705896,014102497
"748",1459620444,698837,053961472
"749",1459620444,691848,683421857
"750",1459620444,684930,196587639
"751",1459620444,678080,894621762
"752",1459620444,671300,085675545
"753",1459620444,664587,084818789
"754",1459620444,657941,213970601
"755",1459620444,651361,801830895
"756",1459620444,644848,183812586
"757",1459620444,638399,701974461
"758",1459620444,632015,704954716
"759",1459620444,625695,547905169
"760",1459620444,619438,592426117
"761",1459620444,613244,206501856
"762",1459620444,607111,764436837
"763",1459620444,601040,646792469
"764",1459620444,595030,240324544
"765",1459620444,589079,937921299
"766",1459620444,583189,138542086
"767",1459620444,577357,247156665
"768",1459620444,571583,674685098
"769",1459620444,565867,837938247
"770",1459620444,560209,159558865
"771",1459620444,554607,067963276
"772",1459620444,549060,997283644
"773",1459620444,543570,387310807
"774",1459620444,538134,683437699
"775",1459620444,532753,336603322
"776",1459620444,527425,803237289
"777",1459620444,522151,545204916
"778",1459620444,516930,029752867
"779",1459620444,511760,729455338
"780",1459620444,506643,122160785
"781",1459620444,501576,690939177
"782",1459620444,496560,924029785
"783",1459620444,491595,314789487
"784",1459620444,486679,361641592
"785",1459620444,481812,568025177
"786",1459620444,476994,442344925
"787",1459620444,472224,497921476
"788",1459620444,467502,252942261
"789",1459620444,462827,230412838
"790",1459620444,458198,95810871
"791",1459620444,453616,968527623
"792",1459620444,449080,798842347
