"","bestCostByT","temperatures"
"409",145719673,16398,1400186277
"410",145719673,16234,1586184414
"411",145719673,16071,817032257
"412",145719673,15911,0988619344
"413",145719673,15751,9878733151
"414",145719673,15594,4679945819
"415",145719673,15438,5233146361
"416",145719673,15284,1380814897
"417",145719673,15131,2967006748
"418",145719673,14979,9837336681
"419",145719673,14830,1838963314
"420",145719673,14681,8820573681
"421",145719673,14535,0632367944
"422",145719673,14389,7126044265
"423",145719673,14245,8154783822
"424",145719673,14103,3573235984
"425",145719673,13962,3237503624
"426",145719673,13822,7005128588
"427",145719673,13684,4735077302
"428",145719673,13547,6287726529
"429",145719673,13412,1524849264
"430",145719673,13278,0309600771
"431",145719673,13145,2506504763
"432",145719673,13013,7981439716
"433",145719673,12883,6601625318
"434",145719673,12754,8235609065
"435",145719673,12627,2753252975
"436",145719673,12501,0025720445
"437",145719673,12375,992546324
"438",145719673,12252,2326208608
"439",145719673,12129,7102946522
"440",145719673,12008,4131917057
"441",145719673,11888,3290597886
"442",145719673,11769,4457691907
"443",145719673,11651,7513114988
"444",145719673,11535,2337983838
"445",145719673,11419,8814604
"446",145719673,11305,682645796
"447",145719673,11192,625819338
"448",145719673,11080,6995611447
"449",145719673,10969,8925655332
"450",145719673,10860,1936398779
"451",145719673,10751,5917034791
"452",145719673,10644,0757864443
"453",145719673,10537,6350285799
"454",145719673,10432,2586782941
"455",145719673,10327,9360915111
"456",145719673,10224,656730596
"457",145719673,10122,4101632901
"458",145719673,10021,1860616572
"459",145719673,9920,97420104058
