,setting,time_mean,time_min,time_max,time_sd,time_median,cost_mean,cost_min,cost_max,cost_sd,cost_median,Vecindad
64,1.0 49558555.0 1000.0 15.0 0.99,1490.921713538169,1305.99635791779,1814.1857047081,124.1009208208464,1506.1393924951599,145953724.72,145538632.0,146683709.0,295420.36194479465,145924407.5,Algoritmo 1
65,1.0 49558555.0 1000.0 20.0 0.79,86.79446734905243,81.00417280197141,95.31708335876459,3.0174971459245548,87.28518116474152,147388380.9,145936635.0,148526711.0,646410.143556192,147450188.0,Algoritmo 1
66,1.0 49558555.0 1000.0 20.0 0.84,111.9668952131271,89.73482847213751,129.582563638687,11.910831637802518,118.95658981800051,147256881.38,145803560.0,148285837.0,627346.9140981284,147306571.5,Algoritmo 1
67,1.0 49558555.0 1000.0 20.0 0.89,165.86358604907983,129.609223842621,191.305151224136,16.42059728454784,175.0811768770215,146661455.78,145503473.0,148154673.0,636922.0276184548,146650591.0,Algoritmo 1
68,1.0 49558555.0 1000.0 20.0 0.94,305.89177496910094,243.238535881042,354.074793100357,35.30707050500243,326.2348504066465,146458092.18,145538585.0,147530307.0,476034.6340017833,146396660.0,Algoritmo 1
69,1.0 49558555.0 1000.0 20.0 0.99,1999.4505026149752,1799.74270319939,2420.8817687034602,151.3808838710131,2003.42060649395,145895032.44,145482782.0,146320186.0,224204.31576333335,145899938.0,Algoritmo 1
70,1.0 49558555.0 1000.0 25.0 0.79,104.19032569408414,81.9322202205658,118.24157500267,9.58612034297216,108.58449316024749,147181287.82,145566344.0,148423425.0,793925.5315648427,147285149.5,Algoritmo 1
71,1.0 49558555.0 1000.0 25.0 0.84,139.82198300361628,111.973808288574,162.363635540009,15.108578066725881,148.6916749477385,146901240.6,145569750.0,148187995.0,712519.7606041734,146815223.5,Algoritmo 1
72,1.0 49558555.0 1000.0 25.0 0.89,209.60103619098663,161.680606365204,239.70223903656003,19.34646151089455,219.28273367881752,146585124.48,145692669.0,147891678.0,548198.8719422028,146496221.5,Algoritmo 1
73,1.0 49558555.0 1000.0 25.0 0.94,389.31396101474763,319.513507843018,442.52316284179705,33.71181530197275,407.1921173334125,146294844.9,145442145.0,147501095.0,467577.64886780566,146289849.5,Algoritmo 1
74,1.0 49558555.0 1000.0 25.0 0.99,2248.157862038612,1751.95111465454,2609.74854254723,170.7231741118065,2318.98019790649,145817017.9,145454071.0,146331284.0,204427.9003796763,145842542.5,Algoritmo 1
75,1.0 49558555.0 1000.0 30.0 0.79,128.45638844013214,99.18662714958191,142.31682133674602,9.553158720348694,131.259125947952,146881896.98,145698627.0,148379093.0,696014.0330192591,146735408.5,Algoritmo 1
76,1.0 49558555.0 1000.0 30.0 0.84,168.7328505992889,131.599158287048,194.63608956336998,16.923451650839016,178.30514276027648,146884799.08,145557017.0,148132478.0,676298.9023549301,146897398.0,Algoritmo 1
77,1.0 49558555.0 1000.0 30.0 0.89,252.30558114051823,194.360802650452,288.783694505692,22.36269468039012,262.884885549545,146540942.48,145501850.0,147664077.0,547462.4389661307,146512000.0,Algoritmo 1
78,1.0 49558555.0 1000.0 30.0 0.94,477.9967168378829,438.18226981162996,531.7258834838871,23.783859707900536,488.9144214391705,146335366.04,145448133.0,147366071.0,503896.73174804944,146290565.0,Algoritmo 1
79,1.0 49558555.0 1000.0 30.0 0.99,2665.901458206177,2103.84551048279,3048.68443846703,238.8430135460121,2782.61798989773,145791500.2,145484077.0,146271534.0,176938.31690537278,145745449.5,Algoritmo 1
80,1.0 49558555.0 10000.0 15.0 0.79,51.359387831687926,40.7710025310516,57.112431049346895,3.902294697560964,52.6349102258682,147647271.28,145562718.0,148628991.0,779510.7037171681,147803500.0,Algoritmo 1
81,1.0 49558555.0 10000.0 15.0 0.84,64.80422101020812,52.2007436752319,76.07104229927059,7.648537431068674,69.43861198425296,147580720.56,145924255.0,148591833.0,738679.7903583691,147727128.0,Algoritmo 1
82,1.0 49558555.0 10000.0 15.0 0.89,99.20029808044434,77.2322726249695,114.371450424194,10.033645267481319,104.9029413461685,147502644.94,145940759.0,148577617.0,630651.1780162161,147678722.5,Algoritmo 1
83,1.0 49558555.0 10000.0 15.0 0.94,183.99064827442172,143.859642028809,210.12264156341598,18.153331134555852,192.701996088028,146835709.84,145843241.0,148373736.0,627721.4522607794,146748473.0,Algoritmo 1
84,1.0 49558555.0 10000.0 15.0 0.99,1172.7579087638853,1021.8376626968401,1418.1679100990302,96.1537966790465,1186.671936154365,146110404.36,145490049.0,147142462.0,398677.60672737536,146010826.0,Algoritmo 1
